Date,"Spend (Cost, Amount Spent)",Action Link Clicks,Impressions,Action Leads,Ad ID,Ad Name,Instagram Permalink URL,Adset Name,Campaign ID,Campaign Name,Action Landing Page View,Action Video View,Video 15 Sec Watched Actions,Video 50 Percent Watched Actions,Video 75 Percent Watched Actions,Video 95 Percent Watched Actions
2026-06-04,"20,76",2,234,0,120247959088930229,teste-tmb_jun26-lead-adi04,https://www.instagram.com/p/DZGFA0jAIS3/,TMB_jun26-lead-adi04-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,2,3,1,0,0,0
2026-06-04,"21,72",1,227,0,120247951235010229,teste-tmb_jun26-lead-adc01,https://www.instagram.com/p/DZGFAjTAO2-/,TMB_jun26-lead-adc01-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,1,0,0,0,0,0
2026-06-04,22,0,190,0,120247959478570229,teste-tmb_jun26-lead-adv03,https://www.instagram.com/p/DZGFA4dgMk4/,TMB_jun26-lead-adv03-ca01-base-clientes_lookalike1p,120247959478610229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_07,0,46,14,15,9,4
2026-06-04,"22,41",0,204,0,120247951235040229,teste-tmb_jun26-lead-adc04,https://www.instagram.com/p/DZGFAjVAJBS/,TMB_jun26-lead-adc04-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,0,0,0,0,0,0
2026-06-04,"22,67",3,346,0,120247959088950229,teste-tmb_jun26-lead-adi06,https://www.instagram.com/p/DZGFAn6AM37/,TMB_jun26-lead-adi06-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,2,1,0,0,0,0
2026-06-04,"22,76",1,309,0,120247959088940229,teste-tmb_jun26-lead-adi05,https://www.instagram.com/p/DZGFAsigMPg/,TMB_jun26-lead-adi05-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,0,3,0,1,0,0
2026-06-04,"22,95",1,44,0,120246790260230229,tmb_mai26-lead-adc08,https://www.instagram.com/p/DYVz5KIAJPu/,lead-aberta,120246790165500229,perpetuo-lead-frio-aberta-mql_300k-leva_02,1,0,0,0,0,0
2026-06-04,"23,63",2,286,0,120247960957480229,teste-tmb_jun26-lead-adv10,https://www.instagram.com/p/DZF-KVXAJ-g/,TMB_jun26-lead-adv10-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,2,52,11,5,1,0
2026-06-04,"26,12",1,200,0,120247951235110229,teste-tmb_jun26-lead-adc05,https://www.instagram.com/p/DZGFAnqAOzj/,TMB_jun26-lead-adc05-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,3,0,0,0,0,0
2026-06-04,"26,46",9,659,0,120247324347120229,teste-tmb_mai26-lead-adi11,https://www.instagram.com/p/DYxur3YgGT7/,tmb_mai26-lead-adi11-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,7,0,0,0,0,0
2026-06-04,"27,09",5,198,0,120247954574210229,teste-tmb_jun26-lead-adc07,https://www.instagram.com/p/DZGFAwTAPIq/,TMB_jun26-lead-adc07-ca01-base-clientes_lookalike1p,120247954574120229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_04,2,0,0,0,0,0
2026-06-04,"27,63",2,394,0,120247959088920229,teste-tmb_jun26-lead-adi03,,TMB_jun26-lead-adi03-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,0,0,0,0,0,0
2026-06-04,"27,77",1,342,0,120247960978390229,teste-tmb_jun26-lead-adv11,https://www.instagram.com/p/DZF-LpaAHTa/,TMB_jun26-lead-adv11-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,0,89,14,4,1,1
2026-06-04,"28,27",8,678,2,120247324347110229,teste-tmb_mai26-lead-adi09,https://www.instagram.com/p/DYxurXugNfu/,tmb_mai26-lead-adi09-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,6,0,0,0,0,0
2026-06-04,"28,84",2,381,1,120247959308220229,teste-tmb_jun26-lead-adi11,https://www.instagram.com/p/DZGFApeAKA4/,TMB_jun26-lead-adi11-ca01-base-clientes_lookalike1p,120247959308170229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_06,0,1,0,0,0,0
2026-06-04,"29,95",3,433,0,120247951235030229,teste-tmb_jun26-lead-adc03,https://www.instagram.com/p/DZGFAgdAAt3/,TMB_jun26-lead-adc03-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,1,0,0,0,0,0
2026-06-04,"30,02",7,414,0,120244464756610229,Tmb_fev26-lead-adv04,https://www.instagram.com/p/DW7tt6UgFAk/,drop-30_44,120243514966280229,perpetuo-lead-frio-drop-mista-nova_pg,7,92,22,19,16,12
2026-06-04,"30,36",15,564,2,120246930686580229,teste-tmb_mai26-lead-adv05,https://www.instagram.com/p/DYik1omgBXf/,TMB_mai26-lead-adv05-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,15,155,34,22,19,15
2026-06-04,"30,72",3,117,0,120246685162880229,Tmb_fev26-lead-adv08,https://www.instagram.com/p/DYXh89_AMq7/,drop-30_44,120246685162830229,perpetuo-lead-frio-drop-mista-mql_300k,0,37,5,1,0,0
2026-06-04,"31,75",4,597,0,120247324295340229,teste-tmb_mai26-lead-adv19,https://www.instagram.com/p/DYxt03xgCax/,TMB_mai26-lead-adv19-ca01-base-clientes_lookalike1p,120243551503270229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads,4,148,40,33,22,16
2026-06-04,"31,78",6,304,0,120247951235020229,teste-tmb_jun26-lead-adc02,https://www.instagram.com/p/DZGFArxAIgs/,TMB_jun26-lead-adc02ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,3,0,0,0,0,0
2026-06-04,"32,84",2,215,0,120247954574220229,teste-tmb_jun26-lead-adc08,https://www.instagram.com/p/DZGFAnPgFV7/,TMB_jun26-lead-adc08-ca01-base-clientes_lookalike1p,120247954574120229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_04,1,0,0,0,0,0
2026-06-04,"43,67",3,396,0,120247959667850229,teste-tmb_jun26-lead-adv06,https://www.instagram.com/p/DZGFAzCgMCr/,TMB_jun26-lead-adv06-ca01-base-clientes_lookalike1p,120247959667840229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_08,1,79,27,14,13,8
2026-06-04,"45,28",4,556,0,120247959308250229,teste-tmb_jun26-lead-adi08,https://www.instagram.com/p/DZGFAwOAA10/,TMB_jun26-lead-adi08-ca01-base-clientes_lookalike1p,120247959308170229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_06,2,4,0,0,0,0
2026-06-04,"47,88",5,897,0,120247959478600229,teste-tmb_jun26-lead-adv01,https://www.instagram.com/p/DZGFA8UgB-O/,TMB_jun26-lead-adv01-ca01-base-clientes_lookalike1p,120247959478610229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_07,5,216,25,36,25,12
2026-06-04,"50,5",5,425,0,120247959089010229,teste-tmb_jun26-lead-adi02,,TMB_jun26-lead-adi02-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,0,0,0,0,0,0
2026-06-04,"50,9",5,658,1,120247966513260229,tmb_julho25-lead-adi02,https://www.instagram.com/p/DZoLZOcgMsY/,lead-publico_sugerido,120247966513250229,perpetuo-lead-frio-publico_sugerido-nova_pg-v2,1,22,14,26,18,14
2026-06-04,"60,92",4,1013,0,120247959308180229,teste-tmb_jun26-lead-adi09,https://www.instagram.com/p/DZGFAqoAD4o/,TMB_jun26-lead-adi09-ca01-base-clientes_lookalike1p,120247959308170229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_06,3,5,2,0,0,0
